Detected: Pallet | confidence=0.86
Detected: Pallet | confidence=0.83
Detected: Pallet | confidence=0.80
Detected: Pallet | confidence=0.71
Detected: Pallet | confidence=0.62
Detected: Pallet | confidence=0.61
Detected: Rack | confidence=0.60
Detected: Pallet | confidence=0.58
Detected: Rack | confidence=0.55
Detected: Pallet | confidence=0.53
Detected: Pallet | confidence=0.52
Detected: Pallet | confidence=0.42
Detected: Pallet | confidence=0.42
Detected: Pallet | confidence=0.42
Detected: Pallet | confidence=0.37
Detected: Rack | confidence=0.35
Detected: Rack | confidence=0.33
Detected: Pallet | confidence=0.30
Detected: Pallet | confidence=0.29
